open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1763683200000,86601.40,86726.90,86552.00,86662.40,213.931,1763683259999,18536634.64820,7597,108.119,9368649.36740,0
1763683260000,86662.40,86774.00,86648.10,86746.10,229.128,1763683319999,19868507.73210,6971,137.801,11949004.73170,0
1763683320000,86746.10,86877.10,86740.00,86868.50,228.092,1763683379999,19801105.95880,8601,163.586,14201130.58060,0
1763683380000,86868.50,86883.90,86818.20,86854.50,435.467,1763683439999,37819773.49100,6245,241.569,20979779.47930,0
1763683440000,86854.40,86857.40,86670.20,86672.10,219.500,1763683499999,19045548.94950,6176,45.665,3962456.12400,0
1763683500000,86672.00,87000.00,86635.60,86968.80,155.556,1763683559999,13505181.30670,8299,107.366,9322648.54690,0
1763683560000,86968.70,86995.20,86905.00,86930.50,215.983,1763683619999,18779267.73340,7413,104.347,9072159.13650,0
1763683620000,86930.50,87000.00,86930.50,86988.80,163.380,1763683679999,14211034.19950,5145,92.655,8059194.17740,0
1763683680000,86988.80,87064.00,86953.50,87009.00,142.639,1763683739999,12410126.34090,5516,83.516,7266342.23550,0
1763683740000,87008.90,87052.50,86962.70,87015.60,121.155,1763683799999,10540790.62130,4664,40.249,3501796.86190,0
1763683800000,87015.60,87115.50,87003.70,87102.80,102.567,1763683859999,8928893.78700,5143,59.632,5191173.40600,0
1763683860000,87102.70,87155.00,87045.20,87100.00,336.037,1763683919999,29273218.63640,7110,186.608,16257491.71810,0
1763683920000,87100.10,87145.60,87042.00,87070.90,120.384,1763683979999,10485245.70660,4203,48.982,4266561.87800,0
1763683980000,87070.80,87118.50,87056.50,87089.90,108.083,1763684039999,9413487.83980,4076,54.090,4710890.61810,0
1763684040000,87089.90,87248.90,87089.80,87241.60,537.027,1763684099999,46811364.26470,6866,469.603,40932230.58450,0
1763684100000,87241.50,87314.90,87192.70,87222.50,201.514,1763684159999,17583270.62520,6937,89.401,7800786.58180,0
1763684160000,87222.50,87260.70,87188.80,87223.30,112.847,1763684219999,9843702.28570,4605,48.639,4242869.54600,0
1763684220000,87223.30,87366.10,87213.00,87342.90,122.578,1763684279999,10701258.82810,4765,80.478,7026372.47980,0
1763684280000,87342.90,87374.00,87314.50,87345.20,141.770,1763684339999,12382846.91580,4480,73.222,6395491.37990,0
1763684340000,87345.20,87345.30,87153.70,87156.80,147.876,1763684399999,12898822.23410,4538,47.125,4111025.53880,0
1763684400000,87156.90,87231.60,87153.70,87225.20,71.524,1763684459999,6235607.22480,3397,29.632,2583518.60730,0
1763684460000,87225.10,87229.80,87037.30,87042.30,136.760,1763684519999,11916368.01000,5114,24.231,2112048.63980,0
1763684520000,87042.30,87158.30,87024.60,87145.60,76.378,1763684579999,6652586.62270,4425,33.188,2890772.40940,0
1763684580000,87145.60,87180.10,87049.90,87067.80,93.249,1763684639999,8123494.74340,5048,35.994,3135490.77330,0
1763684640000,87067.70,87133.40,87049.80,87124.50,51.948,1763684699999,4524747.23430,2766,27.426,2388916.91720,0
1763684700000,87124.60,87233.70,87124.60,87229.70,100.785,1763684759999,8786617.01180,4585,69.009,6016117.28610,0
1763684760000,87229.60,87330.50,87216.50,87216.50,241.594,1763684819999,21087515.07670,5260,71.022,6198497.42820,0
