open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1784592000000,65224.70,65224.80,65142.20,65156.20,77.833,1784592059999,5073081.87720,3539,34.001,2215932.38830,0
1784592060000,65156.20,65168.40,65135.10,65144.60,49.711,1784592119999,3238658.73530,1754,16.245,1058334.34620,0
1784592120000,65144.60,65161.60,65130.00,65159.00,63.578,1784592179999,4141875.41220,2611,43.358,2824654.35420,0
1784592180000,65159.10,65176.20,65143.10,65150.10,24.512,1784592239999,1597162.32040,1930,12.125,790015.01600,0
1784592240000,65150.10,65221.20,65150.00,65206.10,72.138,1784592299999,4703063.85410,2556,41.628,2713822.84960,0
1784592300000,65206.10,65219.20,65162.50,65162.50,50.180,1784592359999,3271442.39470,1890,35.247,2298002.01050,0
1784592360000,65162.50,65182.80,65155.80,65177.70,44.892,1784592419999,2925607.77870,2043,27.362,1783138.74530,0
1784592420000,65177.70,65177.70,65142.80,65142.90,26.457,1784592479999,1724029.22890,1155,5.018,326997.14370,0
1784592480000,65142.80,65166.30,65142.80,65151.60,18.380,1784592539999,1197507.95090,1022,8.201,534289.48420,0
1784592540000,65151.70,65181.90,65151.60,65178.80,28.019,1784592599999,1825957.88770,1324,20.788,1354724.82980,0
1784592600000,65178.70,65178.70,65141.20,65141.30,31.626,1784592659999,2060804.11840,877,19.404,1264469.84130,0
1784592660000,65141.30,65141.30,65122.30,65138.60,40.174,1784592719999,2616521.13100,1108,18.601,1211491.71510,0
1784592720000,65138.60,65193.50,65125.40,65193.50,112.673,1784592779999,7341138.52030,2559,58.397,3805588.97380,0
1784592780000,65193.40,65214.80,65187.00,65206.70,58.080,1784592839999,3786713.95300,1918,30.192,1968528.61760,0
1784592840000,65206.70,65206.70,65152.40,65152.40,17.490,1784592899999,1139952.69730,1116,3.809,248276.80510,0
1784592900000,65152.50,65152.50,65131.50,65131.50,22.653,1784592959999,1475737.11600,1026,7.607,495536.25710,0
