open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1761177600000,3803.94,3804.31,3801.75,3802.42,1369.166,1761177659999,5206710.40152,3954,390.661,1485598.04658,0
1761177660000,3802.43,3803.84,3802.00,3802.00,928.529,1761177719999,3530811.24006,3057,544.847,2071848.64307,0
1761177720000,3802.00,3804.33,3798.08,3803.48,3219.882,1761177779999,12238250.01622,5887,1936.335,7360484.91326,0
1761177780000,3803.47,3804.53,3798.10,3798.69,1363.234,1761177839999,5182648.26984,3730,675.882,2569553.16005,0
1761177840000,3798.69,3804.54,3794.89,3802.60,6854.258,1761177899999,26044162.20286,8830,4550.907,17294685.09627,0
1761177900000,3802.60,3807.03,3801.17,3804.93,3461.964,1761177959999,13171557.15247,5909,2034.891,7741272.39796,0
1761177960000,3804.94,3808.84,3804.22,3808.84,2963.982,1761178019999,11283316.64241,5576,1964.793,7479833.20528,0
1761178020000,3808.84,3810.53,3807.64,3807.64,2289.192,1761178079999,8720330.73083,4990,1063.846,4052560.57536,0
1761178080000,3807.64,3808.01,3805.41,3806.27,836.411,1761178139999,3183899.74459,3185,367.153,1397586.54445,0
1761178140000,3806.27,3807.52,3806.27,3806.45,497.210,1761178199999,1892691.10749,2040,293.839,1118523.59004,0
1761178200000,3806.44,3808.42,3806.44,3807.88,742.648,1761178259999,2827495.49352,3216,431.518,1642878.17270,0
1761178260000,3807.88,3807.88,3800.04,3800.70,3203.724,1761178319999,12185774.04564,6060,930.283,3537655.38403,0
1761178320000,3800.69,3806.99,3800.69,3806.98,781.226,1761178379999,2971557.38491,3158,575.658,2189519.62749,0
1761178380000,3806.98,3809.79,3806.54,3807.63,1332.334,1761178439999,5074293.25821,3413,500.005,1904082.75240,0
1761178440000,3807.63,3810.00,3807.09,3810.00,1148.037,1761178499999,4373159.00080,2371,515.955,1965348.12629,0
1761178500000,3810.00,3812.22,3808.23,3809.59,3407.568,1761178559999,12984025.04038,6489,2131.252,8121268.34184,0
1761178560000,3809.58,3815.04,3809.33,3811.80,3442.726,1761178619999,13127764.47866,7983,1681.548,6412358.90786,0
1761178620000,3811.81,3814.32,3810.56,3813.60,2083.189,1761178679999,7942095.74403,4267,1163.209,4434798.98245,0
1761178680000,3813.60,3814.20,3812.60,3814.09,836.266,1761178739999,3189162.00975,1998,488.529,1863034.30919,0
1761178740000,3814.08,3818.00,3812.92,3817.99,2190.466,1761178799999,8359140.76501,4485,1851.869,7067000.97573,0
1761178800000,3817.99,3817.99,3814.40,3814.41,1290.694,1761178859999,4925715.88674,3016,515.890,1968745.77276,0
1761178860000,3814.41,3814.41,3807.17,3807.75,2399.420,1761178919999,9139231.85877,4882,1200.747,4573019.88640,0
1761178920000,3807.75,3807.75,3804.35,3806.75,2366.496,1761178979999,9006874.17072,4449,862.577,3282718.84356,0
1761178980000,3806.75,3806.75,3804.36,3805.40,1135.586,1761179039999,4321106.81457,2695,320.574,1219827.64230,0
1761179040000,3805.39,3807.75,3804.00,3806.97,1030.883,1761179099999,3923233.40504,3220,427.004,1625176.26325,0
1761179100000,3806.97,3806.97,3801.21,3803.27,2156.780,1761179159999,8202191.73102,5086,1129.861,4296735.21003,0
1761179160000,3803.28,3803.28,3800.99,3801.90,1292.884,1761179219999,4915541.76222,3596,433.346,1647497.53438,0
1761179220000,3801.89,3806.00,3801.35,3805.39,1126.093,1761179279999,4283934.50900,3513,810.868,3084700.72355,0
1761179280000,3805.40,3806.63,3804.60,3805.09,757.920,1761179339999,2884375.21064,2651,517.784,1970530.97365,0
1761179340000,3805.09,3806.57,3805.09,3805.82,866.768,1761179399999,3298850.53674,1933,312.828,1190583.60540,0
1761179400000,3805.81,3807.28,3804.13,3807.08,1436.606,1761179459999,5467309.04073,3542,701.928,2671220.12970,0
1761179460000,3807.09,3811.57,3806.81,3809.51,1158.521,1761179519999,4413563.49691,4005,729.210,2777951.12057,0
1761179520000,3809.51,3809.51,3804.42,3804.88,475.559,1761179579999,1810309.06375,2386,137.875,524749.70476,0
1761179580000,3804.89,3810.21,3804.38,3810.06,626.703,1761179639999,2386643.47567,3216,433.731,1651802.18497,0
1761179640000,3810.06,3814.98,3810.06,3814.98,1228.248,1761179699999,4683000.68395,4422,849.759,3239876.03089,0
1761179700000,3814.98,3814.98,3813.12,3813.42,842.091,1761179759999,3211773.93245,3585,496.101,1892152.88236,0
1761179760000,3813.42,3814.07,3811.65,3811.89,851.298,1761179819999,3245923.97765,2371,435.577,1660847.41448,0
1761179820000,3811.90,3815.24,3811.27,3815.14,645.910,1761179879999,2462908.26590,2548,394.132,1502949.32193,0
1761179880000,3815.13,3815.24,3811.18,3812.59,1272.392,1761179939999,4851314.97767,3763,215.425,821489.78475,0
1761179940000,3812.58,3814.83,3812.11,3813.07,482.355,1761179999999,1839419.45636,2643,265.336,1011796.86066,0
1761180000000,3813.07,3813.39,3808.98,3809.37,509.353,1761180059999,1941221.25993,2601,147.751,563142.33400,0
