open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1769472000000,2928.89,2929.87,2923.85,2925.41,7392.453,1769472059999,21631982.79034,8257,1730.246,5063338.32526,0
1769472060000,2925.41,2926.85,2925.00,2926.85,1785.502,1769472119999,5224161.86983,2991,1012.270,2962003.34694,0
1769472120000,2926.84,2928.51,2926.84,2927.57,1195.659,1769472179999,3500724.96120,2404,747.332,2188052.64235,0
1769472180000,2927.57,2927.57,2925.77,2925.95,1177.950,1769472239999,3447664.58087,2576,527.820,1544823.68477,0
1769472240000,2925.95,2926.58,2925.71,2925.71,558.260,1769472299999,1633505.45947,1546,388.213,1135934.08610,0
1769472300000,2925.71,2925.71,2923.67,2924.06,3113.573,1769472359999,9105522.15764,4551,810.603,2370455.95963,0
1769472360000,2924.07,2924.27,2921.89,2921.95,3992.790,1769472419999,11670909.31490,4418,715.502,2091414.25577,0
1769472420000,2921.95,2923.67,2921.34,2923.01,1526.106,1769472479999,4460324.11838,2924,760.556,2222962.57335,0
1769472480000,2923.01,2923.01,2921.81,2921.90,607.881,1769472539999,1776410.57381,1419,268.245,783850.20669,0
1769472540000,2921.90,2921.90,2921.16,2921.55,948.812,1769472599999,2771965.64208,2068,343.706,1004121.82480,0
1769472600000,2921.56,2922.95,2921.36,2922.01,1422.261,1769472659999,4155919.30529,2875,802.323,2344381.64381,0
1769472660000,2922.00,2923.05,2921.08,2923.05,680.978,1769472719999,1989942.98722,1931,458.792,1340713.31529,0
1769472720000,2923.05,2923.52,2922.38,2922.38,675.639,1769472779999,1974943.53026,1310,302.540,884356.04630,0
1769472780000,2922.39,2922.39,2920.58,2920.58,2048.393,1769472839999,5984104.27769,2281,299.934,876228.51428,0
1769472840000,2920.59,2921.45,2920.58,2921.24,618.500,1769472899999,1806662.14349,1454,324.905,949018.85476,0
1769472900000,2921.24,2921.44,2920.82,2920.83,794.041,1769472959999,2319495.33353,1897,481.251,1405794.33139,0
1769472960000,2920.82,2923.17,2920.82,2922.39,1037.672,1769473019999,3032540.83016,2555,569.065,1663064.55288,0
1769473020000,2922.39,2924.87,2922.39,2923.07,1442.703,1769473079999,4218310.46275,3603,951.275,2781435.73064,0
1769473080000,2923.07,2924.24,2923.00,2923.69,854.179,1769473139999,2497311.29901,1950,455.455,1331532.96611,0
1769473140000,2923.68,2923.69,2922.59,2923.28,949.438,1769473199999,2775124.23855,1803,532.417,1556163.75462,0
1769473200000,2923.29,2923.63,2922.60,2923.63,382.559,1769473259999,1118209.53630,1117,201.033,587606.72532,0
1769473260000,2923.62,2923.63,2921.19,2923.20,1135.145,1769473319999,3316938.80019,2785,665.527,1944560.47873,0
1769473320000,2923.20,2923.20,2921.79,2922.38,602.070,1769473379999,1759492.43508,1639,353.757,1033753.08746,0
1769473380000,2922.38,2924.45,2922.23,2924.13,511.422,1769473439999,1495111.19974,1713,320.400,936668.88160,0
1769473440000,2924.12,2928.24,2924.12,2926.83,1947.652,1769473499999,5699705.20495,4928,1236.001,3616751.75511,0
1769473500000,2926.83,2927.77,2926.21,2926.21,1187.135,1769473559999,3474751.44539,2796,486.844,1424962.42493,0
1769473560000,2926.21,2926.22,2925.06,2925.61,929.898,1769473619999,2720429.23780,2307,302.002,883471.73794,0
1769473620000,2925.61,2926.49,2925.61,2925.74,728.090,1769473679999,2130340.12603,2082,344.022,1006590.93572,0
1769473680000,2925.73,2925.74,2924.82,2924.96,1090.219,1769473739999,3189087.66142,1415,507.330,1483984.64147,0
1769473740000,2924.97,2925.27,2923.37,2923.47,1597.199,1769473799999,4670764.87439,1880,511.974,1497191.28056,0
1769473800000,2923.46,2923.47,2921.48,2922.05,967.360,1769473859999,2826923.86648,1799,273.132,798072.03038,0
1769473860000,2922.06,2922.72,2921.76,2921.94,405.841,1769473919999,1185995.18564,1242,156.451,457216.26236,0
