open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1767571200000,91497.20,91567.00,91476.50,91567.00,330.039,1767571259999,30202218.58590,6208,150.313,13754581.99790,0
1767571260000,91566.90,92108.50,91557.70,91868.80,4582.640,1767571319999,421159353.26090,44854,2722.482,250161555.86870,0
1767571320000,91868.70,91995.00,91818.50,91911.30,495.409,1767571379999,45529505.46050,11892,285.679,26255229.13870,0
1767571380000,91911.30,92013.60,91904.10,92008.60,577.427,1767571439999,53101963.15180,11035,283.772,26096665.76030,0
1767571440000,92008.60,92058.20,91800.00,91802.80,659.709,1767571499999,60654370.87430,12933,234.623,21576085.28560,0
1767571500000,91802.80,91821.00,91687.00,91713.80,589.226,1767571559999,54071164.30420,9299,159.173,14601943.21670,0
1767571560000,91713.80,91749.00,91661.20,91690.20,161.661,1767571619999,14824450.96760,5099,84.974,7792191.30870,0
1767571620000,91690.30,91805.70,91690.20,91805.70,175.895,1767571679999,16134742.68040,4619,108.114,9917624.12990,0
1767571680000,91805.70,91811.50,91688.50,91711.90,272.322,1767571739999,24981767.22320,5289,88.717,8137846.26930,0
1767571740000,91711.90,91749.70,91685.00,91716.00,222.091,1767571799999,20367366.27980,5066,108.142,9917045.79860,0
1767571800000,91715.70,91734.70,91685.00,91697.40,67.549,1767571859999,6194309.49650,3332,24.116,2211441.00650,0
1767571860000,91697.40,91742.50,91655.10,91742.50,94.069,1767571919999,8624620.87290,3481,37.273,3417375.26900,0
1767571920000,91742.50,91780.00,91720.90,91734.60,104.761,1767571979999,9611546.44640,2915,57.206,5248555.21170,0
1767571980000,91734.50,91850.00,91734.50,91841.70,104.246,1767572039999,9570875.60740,3417,61.822,5675625.22420,0
1767572040000,91841.60,91920.00,91835.70,91866.30,321.787,1767572099999,29568261.05130,5855,231.986,21316796.89270,0
1767572100000,91866.40,91959.40,91866.40,91927.10,309.255,1767572159999,28426994.63470,6909,197.937,18194727.71820,0
1767572160000,91927.10,91970.00,91860.70,91956.20,178.021,1767572219999,16362184.99500,5027,83.103,7637465.67040,0
1767572220000,91956.20,91956.20,91887.20,91887.20,93.398,1767572279999,8584040.46380,3227,37.043,3404636.90590,0
1767572280000,91887.30,91948.60,91857.10,91863.90,99.037,1767572339999,9102379.06330,3322,32.952,3028627.97500,0
1767572340000,91864.00,91939.40,91864.00,91889.80,91.210,1767572399999,8382760.00410,3694,50.654,4655545.01000,0
1767572400000,91889.90,91889.90,91812.10,91876.30,89.702,1767572459999,8239605.83450,3088,26.028,2390820.53760,0
1767572460000,91876.40,91905.30,91859.00,91862.80,109.566,1767572519999,10066896.08660,2669,63.129,5800200.42500,0
1767572520000,91862.50,91862.50,91773.90,91773.90,111.179,1767572579999,10208379.85190,3433,21.988,2019030.79600,0
1767572580000,91773.90,91773.90,91666.00,91734.30,160.798,1767572639999,14746924.17570,4720,40.969,3757483.39650,0
1767572640000,91734.30,91749.00,91685.00,91745.00,162.584,1767572699999,14911053.46940,4004,80.450,7377706.25600,0
1767572700000,91745.00,91763.40,91725.90,91726.00,77.000,1767572759999,7064618.87580,2745,43.601,4000254.41410,0
1767572760000,91725.90,91768.70,91704.40,91757.20,68.072,1767572819999,6245230.58030,2688,34.359,3152161.30040,0
1767572820000,91757.20,91840.00,91757.20,91839.90,121.957,1767572879999,11195853.91680,3866,79.054,7257235.24100,0
1767572880000,91839.90,91840.00,91792.10,91800.40,59.560,1767572939999,5468461.49570,2009,15.437,1417236.24800,0
1767572940000,91800.50,91847.90,91800.40,91823.40,77.532,1767572999999,7119441.94270,2036,40.157,3687450.11910,0
1767573000000,91823.50,91829.80,91737.40,91758.30,72.807,1767573059999,6682596.13490,2713,21.645,1986656.72120,0
1767573060000,91758.40,91787.90,91748.40,91769.40,86.260,1767573119999,7915244.96330,2073,37.687,3458021.19290,0
1767573120000,91769.50,91769.50,91700.00,91717.10,67.421,1767573179999,6184531.54240,2661,27.790,2548951.63880,0
1767573180000,91717.10,91729.10,91681.70,91715.20,77.492,1767573239999,7106015.36490,1953,33.491,3071059.42570,0
1767573240000,91715.30,91823.70,91715.20,91816.50,66.590,1767573299999,6110565.35510,3018,45.819,4204638.78960,0
1767573300000,91816.50,91836.30,91777.40,91792.70,53.130,1767573359999,4877647.84190,1828,15.120,1388146.58480,0
1767573360000,91792.70,91814.40,91770.40,91793.30,42.582,1767573419999,3908707.66000,1860,17.862,1639576.33620,0
