open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1767830400000,91328.10,91345.10,91291.50,91291.60,73.449,1767830459999,6707168.35300,2399,38.735,3537055.68050,0
1767830460000,91291.60,91337.30,91246.60,91337.20,74.035,1767830519999,6757688.31440,2236,43.917,4008638.44430,0
1767830520000,91337.20,91524.10,91324.00,91402.80,436.424,1767830579999,39907878.97290,7209,342.668,31336583.23790,0
1767830580000,91402.80,91446.60,91330.30,91338.00,205.290,1767830639999,18763169.68530,4461,78.809,7202929.26460,0
1767830640000,91338.00,91346.00,91285.50,91288.60,126.154,1767830699999,11519468.44340,3162,49.568,4526151.79440,0
1767830700000,91288.50,91307.40,91232.00,91232.00,119.471,1767830759999,10903782.69150,3132,37.164,3391652.85080,0
1767830760000,91232.00,91306.50,91232.00,91300.00,35.577,1767830819999,3247699.81800,1635,21.844,1993923.96430,0
1767830820000,91300.00,91313.70,91300.00,91304.90,15.973,1767830879999,1458408.75060,802,8.864,809310.11530,0
1767830880000,91304.90,91305.00,91222.00,91222.10,91.999,1767830939999,8396193.97680,1953,16.039,1463392.51960,0
1767830940000,91222.10,91258.30,91222.00,91258.30,28.954,1767830999999,2641519.90260,804,12.117,1105449.55620,0
1767831000000,91258.20,91258.20,91220.00,91220.10,23.545,1767831059999,2148187.62870,936,4.544,414556.49250,0
1767831060000,91220.10,91220.40,91175.30,91175.30,32.590,1767831119999,2972315.54000,1297,8.857,807824.65270,0
1767831120000,91175.30,91202.20,91167.10,91173.90,51.164,1767831179999,4665317.01150,1664,31.846,2903771.25490,0
1767831180000,91173.90,91180.00,91168.70,91179.90,21.284,1767831239999,1940497.44520,616,9.271,845276.10130,0
1767831240000,91180.00,91199.30,91155.70,91188.80,57.473,1767831299999,5239921.92360,1377,27.030,2464503.09130,0
1767831300000,91188.80,91190.00,91115.30,91115.30,45.835,1767831359999,4178498.80830,1692,16.742,1526362.27030,0
1767831360000,91115.30,91174.70,91107.20,91169.70,49.779,1767831419999,4536900.71730,1778,35.282,3215887.20670,0
1767831420000,91169.70,91190.00,91144.80,91145.40,34.480,1767831479999,3143277.99180,1315,11.990,1093073.76990,0
1767831480000,91145.40,91145.40,91105.00,91105.10,17.034,1767831539999,1552250.22960,778,6.446,587408.04680,0
1767831540000,91105.10,91144.60,91105.00,91116.80,77.881,1767831599999,7096598.75040,1651,54.226,4941140.80980,0
1767831600000,91116.80,91123.40,91110.40,91110.40,20.513,1767831659999,1869119.72910,658,12.453,1134699.90520,0
1767831660000,91110.50,91132.10,91100.00,91110.00,56.040,1767831719999,5105930.90970,1347,43.340,3948794.85210,0
1767831720000,91110.50,91137.50,91065.20,91073.00,93.136,1767831779999,8483780.38210,2619,42.067,3831919.54680,0
1767831780000,91073.00,91084.90,91037.90,91084.80,53.436,1767831839999,4865851.03530,2087,29.484,2684945.72680,0
1767831840000,91084.70,91086.00,91079.10,91086.00,17.467,1767831899999,1590928.78980,511,9.567,871369.87600,0
1767831900000,91085.90,91086.00,91040.00,91053.00,46.177,1767831959999,4204999.90740,1218,19.438,1769948.59530,0
1767831960000,91053.10,91079.70,91053.10,91075.60,32.325,1767832019999,2943879.67900,877,26.758,2436879.11180,0
1767832020000,91075.50,91075.60,91046.60,91064.10,23.597,1767832079999,2148835.89320,933,12.056,1097874.76300,0
1767832080000,91064.10,91084.10,91064.00,91084.00,13.676,1767832139999,1245602.88160,565,9.840,896224.49920,0
1767832140000,91084.00,91084.00,91076.10,91076.30,15.429,1767832199999,1405273.49760,432,4.099,373340.43160,0
1767832200000,91076.20,91140.10,91076.20,91092.40,54.288,1767832259999,4946105.63360,2248,35.701,3252484.07190,0
1767832260000,91092.50,91104.60,91058.50,91104.60,34.372,1767832319999,3130314.78370,1357,17.459,1590134.22240,0
1767832320000,91104.50,91140.00,91104.50,91140.00,35.580,1767832379999,3242166.40970,1471,30.434,2773226.73010,0
1767832380000,91140.00,91180.20,91129.90,91173.90,76.767,1767832439999,6997793.84370,1488,63.157,5757068.07810,0
1767832440000,91173.80,91188.80,91117.70,91133.70,34.771,1767832499999,3169350.94960,1499,17.509,1595792.35090,0
1767832500000,91133.70,91133.70,91100.00,91100.10,9.663,1767832559999,880498.69290,530,1.841,167753.81360,0
