open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1774396800000,70524.00,70554.10,70493.40,70493.50,126.019,1774396859999,8888193.14410,2876,46.101,3251832.22200,0
1774396860000,70493.50,70520.70,70493.00,70499.90,87.693,1774396919999,6182538.79230,1872,40.993,2890030.87200,0
1774396920000,70500.00,70523.90,70499.90,70520.90,69.639,1774396979999,4910669.99770,1444,37.252,2626796.18590,0
1774396980000,70521.00,70550.30,70514.40,70550.30,82.346,1774397039999,5808259.72260,2091,50.629,3571157.49470,0
1774397040000,70550.30,70604.20,70523.00,70594.50,78.281,1774397099999,5523517.03440,2836,46.838,3305006.87940,0
1774397100000,70594.50,70607.70,70571.70,70571.80,53.656,1774397159999,3787880.70330,1714,24.237,1711063.43770,0
1774397160000,70571.80,70606.70,70522.80,70604.20,43.994,1774397219999,3104169.99000,2439,23.913,1687284.52490,0
1774397220000,70604.10,70619.50,70591.00,70611.50,39.051,1774397279999,2757349.22730,1527,21.795,1538905.27090,0
1774397280000,70611.40,70664.40,70600.80,70648.20,72.796,1774397339999,5142455.18850,2468,56.321,3978704.05160,0
1774397340000,70648.10,70665.50,70623.80,70665.50,46.600,1774397399999,3291864.59010,1914,29.848,2108510.01570,0
1774397400000,70665.50,70706.70,70665.50,70694.30,82.216,1774397459999,5811644.17920,2451,45.679,3228866.16080,0
1774397460000,70694.20,70723.50,70682.50,70685.40,50.047,1774397519999,3538597.40310,2329,21.500,1520158.69620,0
1774397520000,70685.40,70702.60,70646.40,70693.70,63.768,1774397579999,4506954.72020,2734,21.094,1490896.22120,0
1774397580000,70693.60,70693.70,70630.00,70640.40,78.697,1774397639999,5560440.32380,2765,15.963,1127818.06940,0
1774397640000,70640.50,70692.90,70636.80,70690.00,76.364,1774397699999,5396352.28480,2130,56.976,4026284.21830,0
1774397700000,70690.10,70692.90,70659.40,70666.00,39.355,1774397759999,2781483.45840,1655,19.744,1395450.60240,0
1774397760000,70666.00,70672.10,70632.10,70632.10,54.045,1774397819999,3818798.31380,2058,21.897,1547247.76950,0
1774397820000,70632.20,70632.20,70560.00,70568.00,47.325,1774397879999,3340868.11400,2564,14.438,1019173.75130,0
1774397880000,70568.00,70582.80,70531.50,70554.10,77.043,1774397939999,5436347.57660,3105,23.326,1645837.52910,0
1774397940000,70554.10,70593.00,70554.10,70570.30,49.213,1774397999999,3473217.11940,1538,25.390,1791769.41520,0
1774398000000,70570.40,70591.50,70549.30,70562.90,36.096,1774398059999,2547193.77300,1654,8.411,593582.84330,0
1774398060000,70562.80,70564.80,70537.80,70540.20,24.050,1774398119999,1696653.11720,1172,5.335,376361.05740,0
1774398120000,70540.20,70546.90,70530.10,70545.00,34.741,1774398179999,2450671.87000,1273,16.950,1195654.08860,0
1774398180000,70545.00,70578.10,70545.00,70578.00,54.315,1774398239999,3832536.26530,1635,16.741,1181275.41810,0
1774398240000,70578.10,70578.20,70563.90,70568.80,12.063,1774398299999,851305.75730,560,5.729,404300.29260,0
1774398300000,70568.70,70600.00,70568.70,70600.00,22.041,1774398359999,1555824.52120,864,17.163,1211464.12510,0
1774398360000,70599.90,70638.00,70599.90,70602.00,30.711,1774398419999,2168794.27980,1382,21.268,1501914.49310,0
1774398420000,70602.00,70645.80,70589.70,70645.70,98.124,1774398479999,6927849.65330,1320,27.875,1968211.52210,0
1774398480000,70645.80,70645.80,70623.60,70630.10,26.294,1774398539999,1857302.81880,1203,9.426,665773.20810,0
1774398540000,70630.10,70644.90,70612.80,70630.00,50.595,1774398599999,3573544.57290,1474,31.978,2258562.51220,0
1774398600000,70630.00,70630.10,70422.60,70521.50,344.690,1774398659999,24300660.47350,10427,94.326,6649392.63760,0
1774398660000,70521.60,70643.70,70502.50,70635.30,142.958,1774398719999,10090894.36970,4954,96.799,6832613.39410,0
1774398720000,70635.30,70672.40,70622.50,70672.40,82.031,1774398779999,5794633.03220,2834,63.700,4499728.65890,0
