open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1767225600000,87608.30,87614.90,87600.00,87614.90,186.012,1767225659999,16295073.55180,1279,52.181,4571306.88960,0
1767225660000,87614.80,87658.00,87614.80,87658.00,34.540,1767225719999,3026846.61610,921,26.914,2358599.07590,0
1767225720000,87658.00,87658.00,87643.00,87650.10,16.334,1767225779999,1431680.28010,574,7.681,673232.60570,0
1767225780000,87650.10,87669.80,87650.00,87669.80,24.693,1767225839999,2164642.79940,581,23.132,2027806.01350,0
1767225840000,87669.80,87671.70,87669.60,87671.60,27.587,1767225899999,2418558.48080,465,23.821,2088393.83980,0
1767225900000,87671.60,87791.90,87671.60,87724.50,173.790,1767225959999,15248925.61870,4234,127.427,11180319.78900,0
1767225960000,87724.50,87724.50,87673.20,87681.80,25.858,1767226019999,2267559.83460,1029,9.918,869700.83740,0
1767226020000,87681.90,87714.60,87678.80,87710.70,36.861,1767226079999,3232282.92670,1291,27.770,2435084.34600,0
1767226080000,87710.80,87744.60,87710.70,87729.60,38.257,1767226139999,3356270.18420,942,29.727,2607939.67260,0
1767226140000,87729.50,87748.10,87723.60,87734.50,93.057,1767226199999,8164252.39460,1757,61.161,5365796.97130,0
1767226200000,87734.50,87734.50,87723.50,87725.30,23.536,1767226259999,2064827.48010,452,10.683,937186.99170,0
1767226260000,87725.20,87730.10,87723.50,87730.10,19.343,1767226319999,1696868.71490,448,16.972,1488865.91130,0
1767226320000,87730.00,87731.40,87710.90,87714.30,32.254,1767226379999,2829432.34660,771,17.403,1526630.54840,0
1767226380000,87714.40,87714.40,87711.90,87711.90,8.341,1767226439999,731605.52840,244,3.223,282695.80720,0
1767226440000,87711.90,87712.00,87705.00,87705.00,12.152,1767226499999,1065827.55260,412,9.019,791034.65560,0
1767226500000,87705.00,87731.40,87705.00,87731.40,24.924,1767226559999,2186349.07680,698,21.573,1892383.41700,0
1767226560000,87731.40,87731.40,87720.30,87720.30,31.444,1767226619999,2758539.29700,485,12.062,1058155.97620,0
1767226620000,87720.40,87720.40,87712.60,87715.20,9.499,1767226679999,833202.71000,274,2.943,258140.88030,0
1767226680000,87715.30,87722.00,87715.20,87721.90,11.838,1767226739999,1038386.35630,343,9.980,875408.55870,0
1767226740000,87721.90,87735.00,87721.90,87735.00,10.508,1767226799999,921832.99070,474,8.924,782868.42690,0
1767226800000,87734.90,87744.70,87733.90,87733.90,12.227,1767226859999,1072788.45680,408,7.491,657243.02170,0
1767226860000,87733.90,87737.20,87733.90,87737.20,15.109,1767226919999,1325575.07160,282,10.451,916910.20380,0
1767226920000,87737.20,87737.20,87737.10,87737.10,7.677,1767226979999,673558.20140,345,4.847,425262.20840,0
1767226980000,87737.10,87747.30,87737.10,87740.90,34.871,1767227039999,3059605.25280,605,18.586,1630725.19270,0
1767227040000,87741.00,87741.00,87736.90,87736.90,8.334,1767227099999,731207.60090,218,6.389,560557.40900,0
1767227100000,87737.00,87747.90,87736.90,87747.90,10.727,1767227159999,941199.22970,434,7.875,690968.62990,0
1767227160000,87747.90,87747.90,87734.10,87734.10,11.089,1767227219999,972940.20950,393,3.211,281725.62400,0
1767227220000,87734.20,87742.80,87734.10,87742.80,9.117,1767227279999,799908.70720,308,7.718,677165.19250,0
1767227280000,87742.80,87754.00,87739.20,87746.30,28.994,1767227339999,2544082.20790,823,8.946,784974.05320,0
1767227340000,87746.30,87746.40,87746.30,87746.40,10.542,1767227399999,925022.47810,276,9.835,862985.84400,0
1767227400000,87746.30,87746.40,87735.00,87735.00,25.544,1767227459999,2241183.01670,584,5.661,496670.09650,0
1767227460000,87735.00,87735.10,87720.00,87720.10,13.779,1767227519999,1208792.74830,522,3.309,290292.60070,0
1767227520000,87720.00,87747.00,87720.00,87744.60,37.164,1767227579999,3260455.14180,727,21.211,1860910.62630,0
1767227580000,87744.60,87744.70,87724.60,87724.60,10.628,1767227639999,932456.57370,402,5.596,490977.36110,0
1767227640000,87724.60,87724.70,87716.20,87716.30,13.406,1767227699999,1175970.08730,323,5.587,490073.62690,0
1767227700000,87716.30,87731.80,87716.20,87716.30,22.153,1767227759999,1943366.11870,960,15.125,1326831.78680,0
1767227760000,87716.30,87716.40,87701.70,87705.30,14.810,1767227819999,1298946.98270,553,4.516,396068.72680,0
1767227820000,87705.30,87705.40,87705.20,87705.20,7.384,1767227879999,647616.28690,315,3.804,333631.33870,0
1767227880000,87705.20,87721.80,87705.20,87721.80,29.379,1767227939999,2576895.19860,702,24.645,2161638.96430,0
1767227940000,87721.70,87721.80,87721.70,87721.80,3.349,1767227999999,293780.24400,188,2.707,237462.91260,0
1767228000000,87721.80,87721.80,87706.20,87717.80,16.018,1767228059999,1405011.84210,662,6.330,555213.30260,0
1767228060000,87717.80,87723.30,87717.80,87723.30,12.002,1767228119999,1052835.66640,322,10.531,923795.43010,0
1767228120000,87723.30,87729.30,87723.30,87726.10,12.334,1767228179999,1082020.67130,437,7.445,653122.30060,0
1767228180000,87726.10,87726.10,87714.30,87714.40,15.032,1767228239999,1318638.23060,288,8.031,704475.41150,0
1767228240000,87714.40,87715.00,87714.30,87715.00,10.235,1767228299999,897758.69780,206,8.675,760923.59540,0
1767228300000,87715.00,87721.80,87714.90,87721.70,9.379,1767228359999,822709.51530,267,5.649,495520.76630,0
1767228360000,87721.80,87721.80,87721.70,87721.70,3.546,1767228419999,311061.40210,111,2.539,222725.65020,0
1767228420000,87721.80,87721.90,87721.70,87721.90,10.112,1767228479999,887043.16620,277,8.815,773268.00620,0
1767228480000,87721.80,87736.20,87721.80,87736.20,19.187,1767228539999,1683213.67850,504,14.861,1303717.32000,0
1767228540000,87736.20,87783.80,87736.20,87783.80,34.686,1767228599999,3044039.33480,984,32.394,2842897.70630,0
1767228600000,87783.80,87784.50,87762.80,87762.80,74.809,1767228659999,6566564.65330,1016,18.131,1591381.98040,0
1767228660000,87762.80,87784.00,87762.80,87784.00,19.483,1767228719999,1710080.02210,545,17.250,1514081.42000,0
1767228720000,87784.00,87798.60,87784.00,87798.50,25.212,1767228779999,2213423.36540,655,16.204,1422600.46490,0
1767228780000,87798.60,87800.00,87783.60,87783.60,18.574,1767228839999,1630670.45700,598,6.426,564150.08470,0
1767228840000,87783.70,87783.70,87772.10,87772.20,10.733,1767228899999,942082.42340,375,1.710,150092.46860,0
1767228900000,87772.20,87785.00,87767.30,87784.90,23.142,1767228959999,2031229.09100,554,19.072,1673983.69130,0
1767228960000,87785.00,87806.00,87784.90,87806.00,39.232,1767229019999,3444411.39950,717,31.069,2727747.92160,0
1767229020000,87806.00,87819.00,87806.00,87810.50,12.721,1767229079999,1117048.91780,648,8.953,786165.95040,0
1767229080000,87810.50,87810.50,87797.60,87797.70,14.370,1767229139999,1261719.42480,344,6.764,593876.25840,0
1767229140000,87797.70,87797.70,87770.00,87773.40,23.122,1767229199999,2029687.91130,644,3.220,282683.11360,0
1767229200000,87773.40,87786.70,87773.30,87786.70,24.415,1767229259999,2143190.29140,500,21.330,1872369.28210,0
1767229260000,87786.70,87816.00,87786.60,87816.00,20.634,1767229319999,1811656.32910,657,18.977,1666171.41470,0
1767229320000,87816.00,87820.00,87815.90,87819.90,14.915,1767229379999,1309818.24170,297,7.375,647661.43570,0
1767229380000,87819.90,87829.10,87819.90,87820.70,33.728,1767229439999,2962060.75850,659,21.132,1855848.47760,0
1767229440000,87820.70,87821.00,87820.60,87821.00,8.830,1767229499999,775456.48270,256,4.162,365509.90960,0
1767229500000,87821.00,87834.90,87820.90,87832.90,21.935,1767229559999,1926548.37830,504,11.054,970840.36110,0
1767229560000,87832.90,87833.50,87830.00,87833.50,32.906,1767229619999,2890161.84180,535,20.769,1824154.96690,0
